,id,round_number,owner,name,timestamp,body,balance,tick_number,n_transactions,participant_code,session_code,treatment,player.intermediary_payoff
3104,3860,4,Player object (1139),PREDICTIONS_SENT,2023-03-09 18:29:42.478814+00:00,"{""priceA"": 80, ""sharesA"": 0, ""secs_since_round_starts"": 182, ""action"": ""predictions_send"", ""stockUpA"": 2, ""confidenceA"": 3}",130.0,30.0,7.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3105,3861,4,Player object (1139),buy,2023-03-09 18:30:06.594947+00:00,"{""priceA"": 85, ""sharesA"": 1, ""secs_since_round_starts"": 206, ""market"": ""A""}",45.0,35.0,8.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3106,3862,4,Player object (1139),sell,2023-03-09 18:30:13.667451+00:00,"{""priceA"": 70, ""sharesA"": 0, ""secs_since_round_starts"": 213, ""market"": ""A""}",115.0,36.0,9.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3107,3863,4,Player object (1139),buy,2023-03-09 18:30:22.914327+00:00,"{""priceA"": 80, ""sharesA"": 1, ""secs_since_round_starts"": 222, ""market"": ""A""}",35.0,38.0,10.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3108,3864,4,Player object (1139),sell,2023-03-09 18:30:40.976179+00:00,"{""priceA"": 95, ""sharesA"": 0, ""secs_since_round_starts"": 241, ""market"": ""A""}",130.0,41.0,11.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3109,3865,4,Player object (1139),buy,2023-03-09 18:31:09.372375+00:00,"{""priceA"": 85, ""sharesA"": 1, ""secs_since_round_starts"": 269, ""market"": ""A""}",45.0,46.0,12.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3110,3866,4,Player object (1139),sell,2023-03-09 18:31:11.686803+00:00,"{""priceA"": 100, ""sharesA"": 0, ""secs_since_round_starts"": 271, ""market"": ""A""}",145.0,47.0,13.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3111,3867,4,Player object (1139),buy,2023-03-09 18:31:34.623141+00:00,"{""priceA"": 90, ""sharesA"": 1, ""secs_since_round_starts"": 294, ""market"": ""A""}",55.0,51.0,14.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3112,3868,4,Player object (1139),sell,2023-03-09 18:31:39.484466+00:00,"{""priceA"": 75, ""sharesA"": 0, ""secs_since_round_starts"": 299, ""market"": ""A""}",130.0,52.0,15.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3113,3869,4,Player object (1139),buy,2023-03-09 18:31:40.459020+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 300, ""market"": ""A""}",55.0,52.0,15.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3114,3870,4,Player object (1139),sell,2023-03-09 18:31:48.096439+00:00,"{""priceA"": 85, ""sharesA"": 0, ""secs_since_round_starts"": 308, ""market"": ""A""}",140.0,53.0,16.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3115,3871,4,Player object (1139),buy,2023-03-09 18:31:52.656260+00:00,"{""priceA"": 70, ""sharesA"": 1, ""secs_since_round_starts"": 312, ""market"": ""A""}",70.0,54.0,17.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3116,3872,4,Player object (1139),GAME_ENDS,2023-03-09 18:32:21.737518+00:00,"{""priceA"": 75, ""sharesA"": 1, ""secs_since_round_starts"": 341}",70.0,60.0,17.0,fizyhuoi,vmu7c279,FULL STUDY,145.0
3117,3971,4,Player object (1179),GAME_STARTS,2023-03-09 20:08:26.927930+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3118,3972,4,Player object (1179),PREDICTIONS_SENT,2023-03-09 20:08:41.551055+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 14, ""action"": ""predictions_send"", ""stockUpA"": 4, ""confidenceA"": 4}",50.0,,,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3119,3974,4,Player object (1179),sell,2023-03-09 20:09:04.695300+00:00,"{""priceA"": 40, ""sharesA"": 0, ""secs_since_round_starts"": 37, ""market"": ""A""}",90.0,5.0,1.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3120,3975,4,Player object (1179),buy,2023-03-09 20:09:10.473647+00:00,"{""priceA"": 55, ""sharesA"": 1, ""secs_since_round_starts"": 43, ""market"": ""A""}",35.0,7.0,2.0,qzgbjdzz,vmu7c279,FULL STUDY,130.0
3121,3979,4,Player object (1180),GAME_STARTS,2023-03-09 20:09:31.878427+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 0}",50.0,,,lw8audd5,vmu7c279,FULL STUDY,145.0
3122,3980,4,Player object (1180),PREDICTIONS_SENT,2023-03-09 20:09:37.718990+00:00,"{""priceA"": 100, ""sharesA"": 1, ""secs_since_round_starts"": 5, ""action"": ""predictions_send"", ""stockUpA"": 5, ""confidenceA"": 4}",50.0,,,lw8audd5,vmu7c279,FULL STUDY,145.0
