,round_number,tick_number,filtered_prob,trade_flag,optimal_trade_count,price
172,4,53,0.5,0,0,115
173,4,54,0.5,0,0,130
174,4,55,0.5,0,0,135
175,4,56,0.5,0,0,120
176,4,57,0.5,0,0,135
177,4,58,0.5,0,0,140
178,4,59,0.5,0,0,155
179,4,60,0.5,0,0,160
180,5,1,0.5,0,0,100
181,5,2,0.5,0,0,105
182,5,3,0.5,0,0,100
183,5,4,0.5,0,0,105
184,5,5,0.5,0,0,120
185,5,6,0.5,0,0,130
186,5,7,0.5,0,0,125
187,5,8,0.5,0,0,135
188,5,9,0.5,0,0,120
189,5,10,0.5,0,0,135
190,5,11,0.5,0,0,130
191,5,12,0.5,0,0,120
192,5,13,0.5,0,0,135
193,5,14,0.5,0,0,140
194,5,15,0.5,0,0,145
195,5,16,0.5,0,0,140
196,5,17,0.5,0,0,125
197,5,18,0.5,0,0,115
198,5,19,0.5,0,0,100
199,5,20,0.5,0,0,115
200,5,21,0.5,0,0,120
201,5,22,0.5,0,0,135
202,5,23,0.5,0,0,150
203,5,24,0.5,0,0,155
204,5,25,0.5,0,0,150
205,5,26,0.5,0,0,140
206,5,27,0.5,0,0,145
207,5,28,0.5,0,0,140
208,5,29,0.5,0,0,135
209,5,30,0.5,0,0,125
210,5,31,0.5,0,0,135
211,5,32,0.5,0,0,140
212,5,33,0.5,0,0,125
213,5,34,0.5,0,0,140
214,5,35,0.5,0,0,125
215,5,36,0.5,0,0,140
216,5,37,0.5,0,0,135
217,5,38,0.5,0,0,130
218,5,39,0.5,0,0,135
219,5,40,0.5,0,0,125
220,5,41,0.5,0,0,120
221,5,42,0.5,0,0,130
222,5,43,0.5,0,0,115
223,5,44,0.5,0,0,125
224,5,45,0.5,0,0,120
225,5,46,0.5,0,0,130
226,5,47,0.5,0,0,115
227,5,48,0.5,0,0,110
228,5,49,0.5,0,0,100
229,5,50,0.5,0,0,105
230,5,51,0.5,0,0,100
231,5,52,0.5,0,0,115
232,5,53,0.5,0,0,100
233,5,54,0.5,0,0,105
234,5,55,0.5,0,0,90
235,5,56,0.5,0,0,80
236,5,57,0.5,0,0,90
237,5,58,0.5,0,0,95
238,5,59,0.5,0,0,105
239,5,60,0.5,0,0,95
