,round_number,tick_number,filtered_prob,trade_flag,optimal_trade_count,price
133,4,14,0.5208618681016636,1,15,90
134,4,15,0.5493972040799432,0,15,95
135,4,16,0.4995738325599586,1,15,90
136,4,17,0.46470469113425594,0,15,85
137,4,18,0.4407118028401492,0,15,70
138,4,19,0.4934202415852731,0,15,85
139,4,20,0.46044621997308444,0,15,70
140,4,21,0.4378043684469758,0,15,65
141,4,22,0.4224279859932807,0,15,55
142,4,23,0.48039543710987476,0,15,65
143,4,24,0.45146709923795825,0,15,55
144,4,25,0.43169002570725235,0,15,40
145,4,26,0.4870054870256314,0,15,55
146,4,27,0.5259713378953906,1,15,65
147,4,28,0.5529051331090981,0,15,80
148,4,29,0.5712793841154561,0,15,90
149,4,30,0.5151109892827086,0,15,85
150,4,31,0.4755036597107808,1,15,80
151,4,32,0.5179404569050043,1,15,95
152,4,33,0.5473882863317556,0,15,100
153,4,34,0.4981543075921684,1,15,95
154,4,35,0.5337204628349665,1,15,100
155,4,36,0.4885269486642424,1,15,85
156,4,37,0.4570673777008929,0,15,70
157,4,38,0.4355009867455686,0,15,65
158,4,39,0.4897180556691627,0,15,80
159,4,40,0.45788923507654833,0,15,75
160,4,41,0.5055693706451859,1,15,80
161,4,42,0.5388552795609507,0,15,95
162,4,43,0.5617190733230237,0,15,100
163,4,44,0.5772497941838325,0,15,115
164,4,45,0.5193741863096629,0,15,100
165,4,46,0.47847853825486275,1,15,95
166,4,47,0.4501495476988393,0,15,85
167,4,48,0.500105737602651,1,15,100
168,4,49,0.5350732746090608,0,15,105
169,4,50,0.5591364702939366,0,15,120
170,4,51,0.5064720763559888,0,15,105
171,4,52,0.46949096208460483,1,15,90
172,4,53,0.4439854633835125,0,15,75
173,4,54,0.49574212377572413,0,15,85
174,4,55,0.4620518023886796,0,15,70
175,4,56,0.4388999887324031,0,15,65
176,4,57,0.4231688687101841,0,15,55
177,4,58,0.48092509885021295,0,15,60
178,4,59,0.5217304705105344,1,15,70
179,4,60,0.5499940505093152,0,15,75
180,5,1,0.5,0,18,100
181,5,2,0.46499999999999997,0,18,90
182,5,3,0.44091360476663355,0,18,75
183,5,4,0.4935634609586975,0,18,80
184,5,5,0.530533728978818,1,18,90
185,5,6,0.5560314405213382,0,18,95
186,5,7,0.5733994727268583,0,18,100
187,5,8,0.5166236645513725,0,18,90
