,stock
0,100
1,90
2,75
3,65
4,50
5,40
6,45
7,55
8,70
9,80
10,95
11,90
12,75
13,90
14,95
15,90
16,85
17,70
18,85
19,70
20,65
21,55
22,65
23,55
24,40
25,55
26,65
27,80
28,90
29,85
30,80
31,95
32,100
33,95
34,100
35,85
36,70
37,65
38,80
39,75
40,80
41,95
42,100
43,115
44,100
45,95
46,85
47,100
48,105
49,120
50,105
51,90
52,75
53,85
54,70
55,65
56,55
57,60
58,70
59,75
