,stock
0,100
1,90
2,95
3,85
4,100
5,110
6,100
7,105
8,90
9,75
10,85
11,100
12,85
13,70
14,65
15,55
16,60
17,65
18,75
19,85
20,70
21,75
22,90
23,85
24,70
25,80
26,75
27,80
28,85
29,95
30,105
31,95
32,90
33,75
34,80
35,65
36,50
37,45
38,35
39,50
40,55
41,70
42,60
43,45
44,50
45,35
46,40
47,50
48,65
49,60
50,75
51,90
52,105
53,95
54,80
55,85
56,95
57,110
58,105
59,95
