,stock
0,100
1,105
2,100
3,105
4,120
5,130
6,125
7,135
8,120
9,135
10,130
11,120
12,135
13,140
14,145
15,140
16,125
17,115
18,100
19,115
20,120
21,135
22,150
23,155
24,150
25,140
26,145
27,140
28,135
29,125
30,135
31,140
32,125
33,140
34,125
35,140
36,135
37,130
38,135
39,125
40,120
41,130
42,115
43,125
44,120
45,130
46,115
47,110
48,100
49,105
50,100
51,115
52,100
53,105
54,90
55,80
56,90
57,95
58,105
59,95
