Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6435beccea1ededcc8b9de8d,6387f4bcdf5c22093c240bf6,APPROVED,2023-04-11T20:10:59.702000Z,2023-04-11T20:48:33.677000Z,2023-04-11T20:48:34.403000,2023-04-11T20:48:34.303411Z,2254,C14JUVP6,409,English,55,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6435bf35223c5edd82133d58,615ddab1e4f013092538b6c5,APPROVED,2023-04-11T20:12:43.077000Z,2023-04-11T21:05:37.952000Z,2023-04-11T21:05:38.683000,2023-04-11T21:05:38.596980Z,3175,C14JUVP6,3853,English,59,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6435bf6e7af40a7fd89cc0fc,559d9916fdf99b1e2b2dc6b8,APPROVED,2023-04-11T20:13:59.619000Z,2023-04-11T21:14:33.959000Z,2023-04-11T21:14:35.848000,2023-04-11T21:14:35.761196Z,3635,C14JUVP6,3899,English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6435bfb1147386fee41da93d,6405236519858c28490dfeee,APPROVED,2023-04-11T20:15:05.201000Z,2023-04-11T20:55:26.170000Z,2023-04-11T20:55:26.938000,2023-04-11T20:55:26.972068Z,2421,C14JUVP6,237,English,58,Female,White,United States,United States,United States,English,No,Part-Time
6435bfb68b5fecdbd7eacbd3,6414cd5e294152ef610c1272,APPROVED,2023-04-11T20:14:49.571000Z,2023-04-11T21:06:29.580000Z,2023-04-11T21:06:30.275000,2023-04-11T21:06:30.189214Z,3101,C14JUVP6,62,English,24,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6435c1b233ca4f5fc17d05fc,6025b3681ff1521a3369dffe,APPROVED,2023-04-11T20:26:31.258000Z,2023-04-11T21:02:30.535000Z,2023-04-11T21:02:34.117000,2023-04-11T21:02:31.182746Z,2160,C14JUVP6,1992,English,22,Female,White,United States,United States,United States,English,Yes,Full-Time
6435c398c92b158648f847c1,63cc90d2bed7edb18c3fd155,APPROVED,2023-04-11T20:31:33.089000Z,2023-04-11T21:08:33.038000Z,2023-04-11T21:08:33.779000,2023-04-11T21:08:33.674582Z,2220,C14JUVP6,526,English,59,Female,White,United States,United States,United States,English,No,Other
6435c43330687de0300149c0,62f269f2a7751126ffb96a4c,APPROVED,2023-04-11T20:33:59.062000Z,2023-04-11T21:08:50.252000Z,2023-04-11T21:08:51.445000,2023-04-11T21:08:51.353328Z,2092,C14JUVP6,774,English,60,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6435cdf2c21f66b0050149cd,6266a95d927943d0147dc188,APPROVED,2023-04-11T21:15:54.360000Z,2023-04-11T21:50:06.225000Z,2023-04-11T21:50:07.003000,2023-04-11T21:50:06.904075Z,2052,C14JUVP6,2369,English,56,Male,White,United States,United States,United States,English,No,Full-Time
6435d6018a4ef19b62734516,63e63d34a4180830338a924c,APPROVED,2023-04-11T21:50:24.919000Z,2023-04-11T22:52:24.209000Z,2023-04-11T22:52:26.237000,2023-04-11T22:52:26.139670Z,3720,C14JUVP6,253,English,65,Male,Black,Nigeria,United States,Nigeria,English,No,Part-Time
