Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6436c89960356fe41a2c2104,5c7b2a3df48c6d0016f6fb70,APPROVED,2023-04-12T15:09:57.340000Z,2023-04-12T15:50:55.073000Z,2023-04-12T15:50:56.847000Z,2023-04-12T15:50:57.193384Z,2458,C14JUVP6,1399,English,42,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c89978fcbcbf6f5544ce,63d010fc3093243d40db208b,APPROVED,2023-04-12T15:08:37.198000Z,2023-04-12T15:58:32.202000Z,2023-04-12T15:58:32.970000,2023-04-12T15:58:32.873221Z,2996,C14JUVP6,124,"Croatian, English, Serbian",41,Male,White,Croatia,United Kingdom,Croatia,Croatian,No,Full-Time
6436c89a79c631755a60fef8,59ce3501a5bbdd0001bf45e2,APPROVED,2023-04-12T15:07:02.124000Z,2023-04-12T16:03:36.177000Z,2023-04-12T16:03:37.016000,2023-04-12T16:03:36.895223Z,3395,C14JUVP6,1051,English,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6436c8a00e8e2617b1a92dd4,5fcfb1fe79b8060e0662270a,APPROVED,2023-04-12T15:08:28.047000Z,2023-04-12T16:05:28.119000Z,2023-04-12T16:05:28.950000,2023-04-12T16:05:28.839580Z,3421,C14JUVP6,983,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6436c8a2cec09774489f4a33,601eaeeb12586834759af824,APPROVED,2023-04-12T15:06:20.404000Z,2023-04-12T16:03:04.518000Z,2023-04-12T16:03:05.282000,2023-04-12T16:03:05.191543Z,3405,C14JUVP6,182,English,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6436c8a3848f16466d55fc0c,5ea1a4df991e2406971f11af,APPROVED,2023-04-12T15:08:52.550000Z,2023-04-12T15:44:19.033000Z,2023-04-12T15:44:19.916000,2023-04-12T15:44:19.819430Z,2127,C14JUVP6,1157,English,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6436c8a59dabb97d64c6a697,5ea0627f31802801d5675c08,APPROVED,2023-04-12T15:05:09.522000Z,2023-04-12T15:43:49.568000Z,2023-04-12T15:43:53.312000,2023-04-12T15:43:51.401020Z,2321,C14JUVP6,1312,English,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c8a70116475316993ecf,62ab29bfb1c80887f36dfcf3,APPROVED,2023-04-12T15:06:57.587000Z,2023-04-12T15:40:51.267000Z,2023-04-12T15:40:52.381000,2023-04-12T15:40:52.267542Z,2034,C14JUVP6,573,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6436c8ad2b7e76da6f97fb22,5bcf6b423a99c40001542fa1,APPROVED,2023-04-12T15:05:17.194000Z,2023-04-12T15:49:43.320000Z,2023-04-12T15:49:43.968000,2023-04-12T15:49:43.846720Z,2667,C14JUVP6,2055,English,74,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6436c8b00f91b4479345a12c,6131f6711c0d96f6f1fb04af,APPROVED,2023-04-12T15:05:20.987000Z,2023-04-12T15:51:33.208000Z,2023-04-12T15:51:39.018000,2023-04-12T15:51:33.990863Z,2773,C14JUVP6,508,"Danish, English, Italian, Spanish, French",33,Male,White,Romania,United Kingdom,DATA_EXPIRED,Romanian,DATA_EXPIRED,DATA_EXPIRED
6436c8bb1c7be9df00fe7d32,629f2d6a8d790f69182e8b3e,APPROVED,2023-04-12T15:05:30.970000Z,2023-04-12T15:51:04.597000Z,2023-04-12T15:51:08.032000,2023-04-12T15:51:05.333563Z,2734,C14JUVP6,553,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
